CC_NUM,USED,KNOB,CC_NAME,VAL_NAME,SECTION,TYPE,CC_MIN,CC_MAX,CC_STEP,VAL_MIN,VAL_MAX,VAL_STEP,VAL_DEFAULT,NAMES
18,1,SLIDER,FX2 PARAMETER 2,SPD,FX2,FLANGER,0,127,1,0,100,1,0,-
18,1,SLIDER,FX2 PARAMETER 2,SPD,FX2,PHASER,0,127,1,-100,100,1,0,-
18,1,SLIDER,FX2 PARAMETER 2,R,FX2,SHIFTER,0,127,1,-24,24,1,0,-
19,1,SLIDER,FX2 PARAMETER 3,WIDTH,FX2,CHORUS,0,127,1,0,100,1,0,-
19,1,SLIDER,FX2 PARAMETER 3,WIDTH,FX2,ENSEMBLE,0,127,1,0,100,1,0,-
19,1,SLIDER,FX2 PARAMETER 3,WIDTH,FX2,FLANGER,0,127,1,0,100,1,0,-
19,1,SLIDER,FX2 PARAMETER 3,WIDTH,FX2,PHASER,0,127,1,0,100,1,0,-
19,1,SLIDER,FX2 PARAMETER 3,DAMP,FX2,SHIFTER,0,127,1,-100,100,1,0,-
20,1,SLIDER,FX2 FEED,FEED,FX2,-,0,127,1,0,100,1,0,-
21,1,SLIDER,FX2 MIX,MIX,FX2,-,0,127,1,0,100,1,0,-
22,1,SLIDER,FX3 PARAMETER 1,L,FX3,DELAY,0,127,1,0,100,1,0,-
22,1,SLIDER,FX3 PARAMETER 1,TIME,FX3,PING-PONG,0,127,1,0,100,1,0,-
22,1,SLIDER,FX3 PARAMETER 1,PRE,FX3,L RVRB,0,127,1,0,100,1,0,-
22,1,SLIDER,FX3 PARAMETER 1,PRE,FX3,S RVRB,0,127,1,0,100,1,0,-
22,1,SLIDER,FX3 PARAMETER 1,TUNE,FX3,CLOUD,0,127,1,0,100,1,0,-
23,1,SLIDER,FX3 PARAMETER 2,R,FX3,DELAY,0,127,1,0,100,1,0,-
23,1,SLIDER,FX3 PARAMETER 2,-,FX3,PING-PONG,0,127,1,0,0,0,0,-
23,1,SLIDER,FX3 PARAMETER 2,SIZE,FX3,L RVRB,0,127,1,0,100,1,0,-
23,1,SLIDER,FX3 PARAMETER 2,SIZE,FX3,S RVRB,0,127,1,0,100,1,0,-
23,1,SLIDER,FX3 PARAMETER 2,SIZE,FX3,CLOUD,0,127,1,0,100,1,0,-
24,1,SLIDER,FX3 FEED,FEED,FX3,-,0,127,1,0,100,1,0,-
25,1,SLIDER,FX3 PARAMETER 4,DAMP,FX3,DELAY,0,127,1,-100,100,1,0,-
25,1,SLIDER,FX3 PARAMETER 4,DAMP,FX3,PING-PONG,0,127,1,-100,100,1,0,-
25,1,SLIDER,FX3 PARAMETER 4,DAMP,FX3,L RVRB,0,127,1,-100,100,1,0,-
25,1,SLIDER,FX3 PARAMETER 4,DAMP,FX3,S RVRB,0,127,1,-100,100,1,0,-
25,1,SLIDER,FX3 PARAMETER 4,GRAIN,FX3,CLOUD,0,127,1,-8,8,1,-8,-
26,1,SLIDER,FX3 MIX,MIX,FX3,-,0,127,1,0,100,1,0,-
27,1,SLIDER,FILTER EG ATTACK,VCF A,FILTER,-,0,127,1,0,100,1,0,-
28,1,SLIDER,FILTER EG DECAY,VCF D,FILTER,-,0,127,1,0,100,1,0,-
29,1,SLIDER,FILTER EG SUSTAIN,VCF S,FILTER,-,0,127,1,0,100,1,0,-
30,1,SLIDER,FILTER EG RELEASE,VCF R,FILTER,-,0,127,1,0,100,1,0,-
31,1,KNOB,FILTER EG TIME,EG TIME,FILTER,-,0,127,1,-10,6,0.1,0,-
33,1,KNOB,FILTER EG LEVEL,EG LEVEL,FILTER,-,0,127,1,0,100,1,0,-
34,1,SLIDER,VCA EG ATTACK,VCA A,VCA,-,0,127,1,0,100,1,0,-
35,1,SLIDER,VCA EG DECAY,VCA D,VCA,-,0,127,1,0,100,1,0,-
36,1,SLIDER,VCA EG SUSTAIN,VCA S,VCA,-,0,127,1,0,100,1,100,-
37,1,SLIDER,VCA EG RELEASE,VCA R,VCA,-,0,127,1,0,100,1,0,-
38,1,KNOB,VCA EG TIME,EG TIME,VCA,-,0,127,1,-10,6,0.1,0,-
39,1,SLIDER,PRESET VOLUME,VOLUME,VCA,-,0,127,1,0,100,1,100,-
40,1,SLIDER,M1 PARAMETER 1,RATE,M1,LFO,0,127,1,0,100,1,0,-
40,1,SLIDER,M1 PARAMETER 1,A,M1,EG,0,127,1,0,100,1,0,-
40,1,SLIDER,M1 PARAMETER 1,RATE,M1,S+H,0,127,1,0,100,1,0,-
40,1,SLIDER,M1 PARAMETER 1,#,M1,STEP,0,127,1,1,32,1,1,-
41,1,SLIDER,M1 PARAMETER 2,WAVE,M1,LFO,0,127,1,21,107,21,21,"['TRI','SAW','SQU','PULSE','TRAP','CH-SAW']"
41,1,SLIDER,M1 PARAMETER 2,D/R,M1,EG,0,127,1,0,100,1,0,-
41,1,SLIDER,M1 PARAMETER 2,LAG,M1,S+H,0,127,1,0,100,1,0,-
41,1,SLIDER,M1 PARAMETER 2,STEP,M1,STEP,0,127,1,1,32,1,1,-
42,1,SLIDER,M1 PARAMETER 3,FADE,M1,LFO,0,127,1,-100,100,1,0,-
42,1,SLIDER,M1 PARAMETER 3,S,M1,EG,0,127,1,0,100,1,0,-
42,1,SLIDER,M1 PARAMETER 3,PROB,M1,S+H,0,127,1,0,100,1,0,-
42,1,SLIDER,M1 PARAMETER 3,LVL,M1,STEP,0,127,1,0,100,1,0,-
43,1,SLIDER,M1 CV LEVEL,CV,M1,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
44,1,SLIDER,M1 CV1 LEVEL,CV1,M1,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
45,1,SLIDER,M1 CV2 LEVEL,CV2,M1,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
46,1,SLIDER,M1 WAVE LEVEL,WAV,M1,-,0,127,1,-100,100,1,0,-
47,1,SLIDER,M1 CUTOFF LEVEL,CUT,M1,-,0,127,1,-100,100,1,0,-
48,1,SLIDER,M1 VCA LEVEL,VCA,M1,-,0,127,1,-100,100,1,0,-
49,1,SLIDER,M1 FX1 LEVEL,FX1,M1,-,0,127,1,-100,100,1,0,-
50,1,SLIDER,M1 FFM LEVEL,FFM,M1,-,0,127,1,-100,100,1,0,-
51,1,SLIDER,M1 FX2 LEVEL,FX2,M1,-,0,127,1,-100,100,1,0,-
52,1,SLIDER,M1 FX3 LEVEL,FX3,M1,-,0,127,1,-100,100,1,0,-
53,1,SLIDER,M1 CUSTOM 1 LEVEL,CUS-1,M1,-,0,127,1,-100,100,1,0,-
54,1,SLIDER,M1 CUSTOM 2 LEVEL,CUS-2,M1,-,0,127,1,-100,100,1,0,-
55,1,SLIDER,M1 CUSTOM 3 LEVEL,CUS-3,M1,-,0,127,1,-100,100,1,0,-
56,1,SLIDER,M2 PARAMETER 1,RATE,M2,LFO,0,127,1,0,100,1,0,-
56,1,SLIDER,M2 PARAMETER 1,A,M2,EG,0,127,1,0,100,1,0,-
56,1,SLIDER,M2 PARAMETER 1,RATE,M2,S+H,0,127,1,0,100,1,0,-
56,1,SLIDER,M2 PARAMETER 1,#,M2,STEP,0,127,1,1,32,1,1,-
57,1,SLIDER,M2 PARAMETER 2,WAVE,M2,LFO,0,127,1,21,107,21,21,"['TRI','SAW','SQU','PULSE','TRAP','CH-SAW']"
57,1,SLIDER,M2 PARAMETER 2,D/R,M2,EG,0,127,1,0,100,1,0,-
57,1,SLIDER,M2 PARAMETER 2,LAG,M2,S+H,0,127,1,0,100,1,0,-
57,1,SLIDER,M2 PARAMETER 2,STEP,M2,STEP,0,127,1,1,32,1,1,-
58,1,SLIDER,M2 PARAMETER 3,FADE,M2,LFO,0,127,1,-100,100,1,0,-
58,1,SLIDER,M2 PARAMETER 3,S,M2,EG,0,127,1,0,100,1,0,-
58,1,SLIDER,M2 PARAMETER 3,PROB,M2,S+H,0,127,1,0,100,1,0,-
58,1,SLIDER,M2 PARAMETER 3,LVL,M2,STEP,0,127,1,0,100,1,0,-
59,1,SLIDER,M2 CV LEVEL,CV,M2,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
60,1,SLIDER,M2 CV1 LEVEL,CV1,M2,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
61,1,SLIDER,M2 CV2 LEVEL,CV2,M2,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
62,1,SLIDER,M2 WAVE LEVEL,WAV,M2,-,0,127,1,-100,100,1,0,-
63,1,SLIDER,M2 CUTOFF LEVEL,CUT,M2,-,0,127,1,-100,100,1,0,-
65,1,SLIDER,M2 VCA LEVEL,VCA,M2,-,0,127,1,-100,100,1,0,-
66,1,SLIDER,M2 FX1 LEVEL,FX1,M2,-,0,127,1,-100,100,1,0,-
67,1,SLIDER,M2 FFM LEVEL,FFM,M2,-,0,127,1,-100,100,1,0,-
68,1,SLIDER,M2 FX2 LEVEL,FX2,M2,-,0,127,1,-100,100,1,0,-
69,1,SLIDER,M2 FX3 LEVEL,FX3,M2,-,0,127,1,-100,100,1,0,-
70,1,SLIDER,M2 CUSTOM 1 LEVEL,CUS-1,M2,-,0,127,1,-100,100,1,0,-
71,1,SLIDER,M2 CUSTOM 2 LEVEL,CUS-2,M2,-,0,127,1,-100,100,1,0,-
72,1,SLIDER,M2 CUSTOM 3 LEVEL,CUS-3,M2,-,0,127,1,-100,100,1,0,-
73,1,SLIDER,M3 PARAMETER 1,RATE,M3,LFO,0,127,1,0,100,1,0,-
73,1,SLIDER,M3 PARAMETER 1,A,M3,EG,0,127,1,0,100,1,0,-
73,1,SLIDER,M3 PARAMETER 1,RATE,M3,S+H,0,127,1,0,100,1,0,-
73,1,SLIDER,M3 PARAMETER 1,#,M3,STEP,0,127,1,1,32,1,1,-
74,1,SLIDER,M3 PARAMETER 2,WAVE,M3,LFO,0,127,1,21,107,21,21,"['TRI','SAW','SQU','PULSE','TRAP','CH-SAW']"
74,1,SLIDER,M3 PARAMETER 2,D/R,M3,EG,0,127,1,0,100,1,0,-
74,1,SLIDER,M3 PARAMETER 2,LAG,M3,S+H,0,127,1,0,100,1,0,-
74,1,SLIDER,M3 PARAMETER 2,STEP,M3,STEP,0,127,1,1,32,1,1,-
75,1,SLIDER,M3 PARAMETER 3,FADE,M3,LFO,0,127,1,-100,100,1,0,-
75,1,SLIDER,M3 PARAMETER 3,S,M3,EG,0,127,1,0,100,1,0,-
75,1,SLIDER,M3 PARAMETER 3,PROB,M3,S+H,0,127,1,0,100,1,0,-
75,1,SLIDER,M3 PARAMETER 3,LVL,M3,STEP,0,127,1,0,100,1,0,-
76,1,SLIDER,M3 CV LEVEL,CV,M3,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
77,1,SLIDER,M3 CV1 LEVEL,CV1,M3,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
78,1,SLIDER,M3 CV2 LEVEL,CV2,M3,-,0,127,1,0,127,1.9,63,"['-24','-23','-22','-21','-20','-19','-18','-17','-16','-15','-14','-13','-12','-11','-10','-9','-8','-7','-6','-5','-4','-3','-2','-1','-0.9','-0.8','-0.7','-0.6','-0.5','-0.4','-0.3','-0.2','-0.1','0','0.1','0.2','0.3','0.4','0.5','0.6','0.7','0.8','0.9','1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24']"
79,1,SLIDER,M3 WAVE LEVEL,WAV,M3,-,0,127,1,-100,100,1,0,-
80,1,SLIDER,M3 CUTOFF LEVEL,CUT,M3,-,0,127,1,-100,100,1,0,-
81,1,SLIDER,M3 VCA LEVEL,VCA,M3,-,0,127,1,-100,100,1,0,-
82,1,SLIDER,M3 FX1 LEVEL,FX1,M3,-,0,127,1,-100,100,1,0,-
83,1,SLIDER,M3 FFM LEVEL,FFM,M3,-,0,127,1,-100,100,1,0,-
84,1,SLIDER,M3 FX2 LEVEL,FX2,M3,-,0,127,1,-100,100,1,0,-
85,1,SLIDER,M3 FX3 LEVEL,FX3,M3,-,0,127,1,-100,100,1,0,-
86,1,SLIDER,M3 CUSTOM 1 LEVEL,CUS-1,M3,-,0,127,1,-100,100,1,0,-
87,1,SLIDER,M3 CUSTOM 2 LEVEL,CUS-2,M3,-,0,127,1,-100,100,1,0,-
88,1,SLIDER,M3 CUSTOM 3 LEVEL,CUS-3,M3,-,0,127,1,-100,100,1,0,-
89,1,SLIDER,SEQ LENGTH,LENG,SQNCR,-,0,127,1,1,32,1,1,-
90,1,SLIDER,SEQ DIVISION,DVS,SQNCR,-,0,127,1,0,127,42,0,"['4','8','16','32']"
91,1,SLIDER,SEQ PROBABILITY,PROB,SQNCR,-,0,127,1,0,100,1,100,-
92,1,SLIDER,SEQ SWING,SWI,SQNCR,-,0,127,1,50,75,1,50,-
93,1,SLIDER,M1 MODE,M1 MODE,M1,-,0,3,1,0,3,1,0,"['LFO','EG','S+H','STEP']"
94,1,SLIDER,M2 MODE,M2 MODE,M2,-,0,3,1,0,3,1,0,"['LFO','EG','S+H','STEP']"
95,1,SLIDER,M3 MODE,M3 MODE,M3,-,0,3,1,0,3,1,0,"['LFO','EG','S+H','STEP']"
96,1,SLIDER,FX1 TYPE,FX1 TYPE,FX1,-,0,5,1,0,5,1,0,"['HARD CLIP','FOLDBACK','S-CURVE','TRI_CLIP','SHRED','BIT CRUSH']"
97,1,SLIDER,FX2 TYPE,FX2 TYPE,FX2,-,0,4,1,0,4,1,0,"['CHORUS','ENSEMBLE','FLANGER','PHASER','SHIFTER']"
98,1,SLIDER,FX3 TYPE,FX3 TYPE,FX3,-,0,4,1,0,4,1,0,"['DELAY','PING-PONG','L RVRB','S RVRB','CLOUD']"
64,0,SLIDER,SUSTAIN PEDAL,SUSTAIN PEDAL,GENERAL,-,0,127,1,0,127,1,0,-
